Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Afghanistan,Total population,Female,1970,5476.63,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1971,5630.099,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1972,5790.327,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1973,5951.12,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1974,6104.377,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1975,6242.891,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1976,6369.361,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1977,6482.15,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1978,6565.176,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1979,6597.855,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1980,6568.227,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1981,6472.949,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1982,6324.845,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1983,6149.028,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1984,5980.043,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1985,5846.315,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1986,5747.657,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1987,5686.382,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1988,5695.339,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1989,5814.528,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1990,6067.694,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1991,6477.343,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1992,7024.451,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1993,7639.816,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1994,8227.017,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1995,8718.035,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1996,9082.951,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1997,9344.885,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1998,9553.498,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,1999,9784.258,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2000,10090.449,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2001,10489.238,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2002,10958.668,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2003,11466.237,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Afghanistan,Total population,Female,2004,11962.963,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
